,CUI1,CUI2
12114,Structure of anterior communicating artery,Structure of right anterior cerebral artery
12115,Structure of anterior descending branch of left pulmonary artery,Interlobar portion of left pulmonary artery
12116,Structure of anterior ethmoidal artery,Structure of ophthalmic artery
12117,Structure of anterior ethmoidal nerve,Structure of nasociliary nerve
12118,Structure of intercostal branch of internal thoracic artery,Structure of internal thoracic artery
12119,Structure of anterior parietal artery,Structure of middle cerebral artery
12120,Structure of anterior parietal artery,Insular part of middle cerebral artery
12121,Structure of anterior spinal artery,Structure of vertebral artery
12122,Structure of anterior temporal artery,Structure of middle cerebral artery
12123,Structure of anterior temporal artery,Sphenoid part of middle cerebral artery
12124,Anterior vagal trunk,Vagus nerve structure
12125,Ascending aorta structure,root (of UWDA hierarchy)
12126,Structure of ascending cervical artery,Structure of inferior thyroid artery
12127,Bundle of His,Structure of atrioventricular node
12128,Structure of atrioventricular node,root (of UWDA hierarchy)
12129,Structure of atrioventricular node branch of right coronary artery,First septal branch of right posterior interventricular artery
12130,Structure of auriculotemporal nerve,Structure of mandibular nerve
12131,Structure of axillary artery,root (of UWDA hierarchy)
12132,Structure of axillary nerve,Posterior fasciculus of brachial plexus
12133,Structure of basilar artery,root (of UWDA hierarchy)
12134,Structure of brachial artery,root (of UWDA hierarchy)
12135,Structure of bronchial branch of brachiocephalic artery,Structure of brachiocephalic artery
12136,Structure of buccal nerve,Structure of mandibular nerve
12137,Structure of calcarine artery,Medial occipital artery
12138,Structure of caroticotympanic artery,Internal carotid artery structure
12139,Structure of caroticotympanic artery,Structure of petrous portion of internal carotid artery
12140,Carotid sinus nerve,Glossopharyngeal nerve structure
12141,Celiac Artery,Abdominal aorta structure
12142,Structure of central retinal artery,Structure of ophthalmic artery
12143,Structure of chorda tympani,Facial nerve structure
12144,Structure of chorda tympani,Structure of lingual nerve
12145,Structure of ciliary ganglion,root (of UWDA hierarchy)
12146,Structure of coccygeal nerve,root (of UWDA hierarchy)
12147,Cochlear Nerve,Acoustic Nerve
12148,Common bile duct structure,root (of UWDA hierarchy)
12149,Structure of common hepatic artery,Celiac Artery
12150,Structure of common hepatic artery,Celiac Artery
12151,Common iliac artery structure,Abdominal aorta structure
12152,Structure of costocervical trunk,Structure of subclavian artery
12153,Structure of cystic artery,Structure of right branch of hepatic artery
12154,Cystic duct structure,Common bile duct structure
12155,Structure of deep artery of clitoris,Structure of internal pudendal artery
12156,Structure of deep artery of penis,Structure of internal pudendal artery
12157,Structure of deep external pudendal artery,root (of UWDA hierarchy)
12158,Structure of deep peroneal nerve,root (of UWDA hierarchy)
12159,Structure of deep temporal nerve,Structure of mandibular nerve
12160,Structure of distal portion of circumflex branch of left coronary artery,root (of UWDA hierarchy)
12161,Structure of distal portion of right coronary artery,root (of UWDA hierarchy)
12162,Structure of dorsal artery of clitoris,Structure of internal pudendal artery
12163,Structure of dorsal artery of penis,Structure of internal pudendal artery
12164,Structure of dorsal nasal artery,Structure of ophthalmic artery
12165,Structure of dorsalis pedis artery,root (of UWDA hierarchy)
12166,Structure of episcleral artery,Structure of muscular branch of ophthalmic artery
12167,Structure of esophageal artery,Thoracic aorta
12168,Structure of external iliac artery,Common iliac artery structure
12169,Facial nerve structure,root (of UWDA hierarchy)
12170,Structure of femoral nerve,Lumbar plexus structure
12171,Structure of frontal nerve,Structure of ophthalmic nerve
12172,Structure of gastroduodenal artery,Structure of common hepatic artery
12173,Structure of genitofemoral nerve,Lumbar plexus structure
12174,Glossopharyngeal nerve structure,root (of UWDA hierarchy)
12175,Structure of hepatic artery proper,Structure of common hepatic artery
12176,Hypoglossal nerve structure,root (of UWDA hierarchy)
12177,Structure of ileocolic artery,Superior mesenteric artery structure
12178,Structure of iliohypogastric nerve,Lumbar plexus structure
12179,Structure of ilioinguinal nerve,Lumbar plexus structure
12180,Structure of iliolumbar artery,Trunk of posterior division of internal iliac artery
12181,Structure of inferior cardiac nerve,Structure of stellate ganglion
12182,Structure of inferior epigastric artery,Structure of external iliac artery
12183,Structure of inferior gluteal artery,root (of UWDA hierarchy)
12184,Structure of inferior laryngeal artery,Structure of inferior thyroid artery
12185,Structure of inferior lingular bronchus,Lingular branch of left superior lobar bronchus
12186,Structure of inferior macular artery,Structure of central retinal artery
12187,Structure of inferior nasal retinal artery,Inferior central retinal artery
12188,Structure of inferior palpebral arch,Structure of medial palpebral artery
12189,Structure of inferior pancreaticoduodenal artery,Superior mesenteric artery structure
12190,Structure of inferior rectal artery,Structure of internal pudendal artery
12191,Structure of inferior root of ansa cervicalis,Cervical plexus structure
12192,Structure of inferior thyroid artery,Structure of thyrocervical trunk
12193,Structure of inferior vesical artery,root (of UWDA hierarchy)
12194,Structure of infratrochlear nerve,Structure of nasociliary nerve
12195,Structure of internal carotid nerve,Structure of superior cervical ganglion
12196,Structure of internal iliac artery,Common iliac artery structure
12197,Structure of internal pudendal artery,root (of UWDA hierarchy)
12198,Structure of internal thoracic artery,Structure of subclavian artery
12199,Structure of jugular nerve,Structure of superior cervical ganglion
12200,Structure of lacrimal artery,Structure of ophthalmic artery
12201,Structure of lacrimal nerve,Structure of ophthalmic nerve
12202,Structure of lateral circumflex femoral artery,Structure of profunda femoris artery
12203,Structure of lateral femoral cutaneous nerve,Lumbar plexus structure
12204,Structure of lateral pectoral nerve,Structure of lateral fasciculus of brachial plexus
12205,Structure of lateral sacral artery,Trunk of posterior division of internal iliac artery
12206,Structure of lateral thoracic artery,Structure of axillary artery
12207,Structure of lateral thoracic artery,Third part of axillary artery
12208,Structure of left anterior cerebral artery,Structure of left internal carotid artery
12209,Structure of left axillary artery,root (of UWDA hierarchy)
12210,Left bundle branch structure,Ventricular part of atrioventricular bundle
12211,Structure of left colic artery,Structure of inferior mesenteric artery
12212,Left common carotid artery structure,Aortic arch structure
12213,Structure of left common iliac artery,Abdominal aorta structure
12214,Left coronary artery structure,Ascending aorta structure
12215,Structure of left external carotid artery,Left common carotid artery structure
12216,Structure of left external iliac artery,Structure of left common iliac artery
12217,Structure of left gastric artery,Celiac Artery
12218,Structure of left gastric artery,Celiac Artery
12219,Structure of left hepatic duct,Common Hepatic Duct
12220,Structure of left internal carotid artery,Left common carotid artery structure
12221,Structure of left internal iliac artery,Structure of left common iliac artery
12222,Left main bronchus structure,Trachea
12223,Structure of left middle cerebral artery,Structure of left internal carotid artery
12224,Structure of left posterior cerebral artery,Structure of basilar artery
12225,Left pulmonary arterial tree,Pulmonary artery structure
12226,Structure of left renal artery,Abdominal aorta structure
12227,Structure of left subclavian artery,Aortic arch structure
12228,Structure of left ulnar artery,root (of UWDA hierarchy)
12229,Structure of left vertebral artery,Structure of left subclavian artery
12230,Structure of left vertebral artery,First part of left subclavian artery proper
12231,Structure of smaller occipital nerve,Anterior ramus of second cervical nerve
12232,Structure of smaller occipital nerve,Cervical plexus structure
12233,Structure of lingual nerve,Structure of mandibular nerve
12234,Lobar bronchus structure,Main Bronchus
12235,Long ciliary nerves,Structure of nasociliary nerve
12236,Structure of lumbar artery,Abdominal aorta structure
12237,Lumbar nerve,root (of UWDA hierarchy)
12238,Structure of lumbar splanchnic nerve,Lumbar sympathetic trunk
12239,Structure of mandibular nerve,Trigeminal nerve structure
12240,Structure of masseteric nerve,Structure of mandibular nerve
12241,Structure of maxillary nerve,Trigeminal nerve structure
12242,Structure of medial circumflex femoral artery,Structure of profunda femoris artery
12243,Structure of medial pectoral nerve,Structure of medial fasciculus of brachial plexus
12244,Structure of medial plantar nerve,root (of UWDA hierarchy)
12245,Structure of mediastinal branch of descending thoracic aorta,Thoracic aorta
12246,Structure of mental nerve,Structure of inferior alveolar nerve
12247,Structure of middle cerebral artery,Internal carotid artery structure
12248,Structure of middle cervical ganglion,root (of UWDA hierarchy)
12249,Structure of middle colic artery,Superior mesenteric artery structure
12250,Meningeal branch of maxillary nerve,Structure of maxillary nerve
12251,Structure of middle rectal artery,root (of UWDA hierarchy)
12252,Structure of musculocutaneous nerve,Structure of lateral fasciculus of brachial plexus
12253,Structure of musculophrenic artery,Structure of internal thoracic artery
12254,Structure of nasociliary nerve,Structure of frontal nerve
12255,Structure of obturator artery,root (of UWDA hierarchy)
12256,Structure of obturator nerve,Lumbar plexus structure
12257,Structure of ophthalmic artery,Internal carotid artery structure
12258,Structure of ophthalmic artery,Cerebral portion of internal carotid artery
12259,Structure of ophthalmic nerve,Trigeminal nerve structure
12260,Structure of ovarian artery,Abdominal aorta structure
12261,Structure of perineal artery,Structure of internal pudendal artery
12262,Structure of phrenic nerve,root (of UWDA hierarchy)
12263,Structure of posterior auricular nerve,Facial nerve structure
12264,Structure of posterior cecal artery,Inferior branch of ileocolic artery
12265,Structure of posterior cerebral artery,root (of UWDA hierarchy)
12266,Structure of posterior choroidal artery,Structure of posterior cerebral artery
12267,Structure of posterior communicating artery,Internal carotid artery structure
12268,Structure of posterior communicating artery,Cerebral portion of internal carotid artery
12269,Structure of posterior ethmoidal artery,Structure of ophthalmic artery
12270,Structure of posterior ethmoidal nerve,Structure of nasociliary nerve
12271,Structure of posterior femoral cutaneous nerve,Sacral plexus structure
12272,Structure of posterior gastric artery,Structure of splenic artery
12273,Structure of posterior inferior cerebellar artery,Structure of vertebral artery
12274,Structure of posterior intercostal artery,Thoracic aorta
12275,Structure of posterior parietal artery,Structure of middle cerebral artery
12276,Structure of posterior parietal artery,Insular part of middle cerebral artery
12277,Structure of posterior spinal artery,Structure of vertebral artery
12278,Structure of posterior temporal artery,Structure of middle cerebral artery
12279,Structure of posterior vagal trunk,Vagus nerve structure
12280,Structure of proximal portion of circumflex branch of left coronary artery,Left coronary artery main stem
12281,Structure of proximal portion of right coronary artery,root (of UWDA hierarchy)
12282,Structure of radial artery,Structure of brachial artery
12283,Structure of radial nerve,Posterior fasciculus of brachial plexus
12284,Recurrent Laryngeal Nerve,Vagus nerve structure
12285,Structure of recurrent meningeal branch of lacrimal artery,Structure of lacrimal artery
12286,Structure of renal artery,Abdominal aorta structure
12287,Structure of respiratory bronchiole,Structure of terminal bronchiole
12288,Structure of right anterior cerebral artery,Structure of right internal carotid artery
12289,Structure of right apical segmental bronchus,Right superior lobar bronchus
12290,Structure of right axillary artery,root (of UWDA hierarchy)
12291,Structure of right branch of atrioventricular bundle,Ventricular part of atrioventricular bundle
12292,Structure of right colic artery,Superior mesenteric artery structure
12293,Right common carotid artery structure,Structure of brachiocephalic artery
12294,Structure of right common iliac artery,Abdominal aorta structure
12295,Right coronary artery structure,Ascending aorta structure
12296,Structure of right external carotid artery,Right common carotid artery structure
12297,Structure of right external iliac artery,Structure of right common iliac artery
12298,Structure of right gastric artery,Structure of common hepatic artery
12299,Structure of right hepatic duct,Common Hepatic Duct
12300,Structure of right internal carotid artery,Right common carotid artery structure
12301,Structure of right internal iliac artery,Structure of right common iliac artery
12302,Right main bronchus structure,Trachea
12303,Structure of right middle cerebral artery,Structure of right internal carotid artery
12304,Structure of right posterior cerebral artery,Structure of basilar artery
12305,Right pulmonary arterial tree,Pulmonary artery structure
12306,Structure of right renal artery,Abdominal aorta structure
12307,Structure of right subclavian artery,Structure of brachiocephalic artery
12308,Structure of right ulnar artery,root (of UWDA hierarchy)
12309,Structure of right vertebral artery,Structure of right subclavian artery
12310,Structure of right vertebral artery,First part of right subclavian artery proper
12311,Sacral nerve,root (of UWDA hierarchy)
12312,Structure of sigmoid artery,Structure of inferior mesenteric artery
12313,Structure of splenic artery,Celiac Artery
12314,Structure of splenic artery,Celiac Artery
12315,Structure of subclavian artery,root (of UWDA hierarchy)
12316,Structure of subcostal artery,Thoracic aorta
12317,Structure of suboccipital nerve,root (of UWDA hierarchy)
12318,Structure of superficial cervical artery,Structure of thyrocervical trunk
12319,Structure of superficial cervical artery,Structure of transverse cervical artery
12320,Structure of superficial external pudendal artery,root (of UWDA hierarchy)
12321,Structure of superior cardiac nerve,Structure of superior cervical ganglion
12322,Structure of superior cervical ganglion,root (of UWDA hierarchy)
12323,Structure of superior epigastric artery,Structure of internal thoracic artery
12324,Structure of superior gluteal artery,Trunk of posterior division of internal iliac artery
12325,Structure of superior intercostal artery,Structure of costocervical trunk
12326,Structure of superior lingular bronchus,Lingular branch of left superior lobar bronchus
12327,Structure of superior macular artery,Structure of central retinal artery
12328,Structure of superior nasal retinal artery,Superior central retinal artery
12329,Structure of superior palpebral arch,Structure of medial palpebral artery
12330,Structure of superior rectal artery,Structure of inferior mesenteric artery
12331,Structure of superior thoracic artery,Structure of axillary artery
12332,Structure of superior thoracic artery,First part of axillary artery
12333,Structure of transverse scapular artery,Structure of thyrocervical trunk
12334,Structure of supratrochlear artery,Structure of ophthalmic artery
12335,Structure of supratrochlear nerve,Structure of frontal nerve
12336,Structure of sural nerve,root (of UWDA hierarchy)
12337,Structure of terminal bronchiole,Intermediate bronchiole
12338,Structure of testicular artery,Abdominal aorta structure
12339,Thoracic sympathetic trunk,root (of UWDA hierarchy)
12340,Structure of thoracodorsal nerve,Posterior fasciculus of brachial plexus
12341,Structure of thymic branch of internal thoracic artery,Structure of internal thoracic artery
12342,Structure of thymic branch of brachiocephalic artery,Structure of brachiocephalic artery
12343,Structure of thyrocervical trunk,Structure of subclavian artery
12344,Trigeminal nerve structure,root (of UWDA hierarchy)
12345,Structure of tympanic nerve,Glossopharyngeal nerve structure
12346,Structure of ulnar artery,Structure of brachial artery
12347,Structure of ulnar nerve,Structure of medial fasciculus of brachial plexus
12348,Structure of urethral artery,Structure of internal pudendal artery
12349,Structure of uterine artery,root (of UWDA hierarchy)
12350,Structure of vaginal artery,root (of UWDA hierarchy)
12351,Vagus nerve structure,root (of UWDA hierarchy)
12352,Structure of vertebral artery,Structure of subclavian artery
12353,Structure of vertebral ganglion,root (of UWDA hierarchy)
12354,Structure of vertebral nerve,Structure of stellate ganglion
12355,Vestibular Nerve,Acoustic Nerve
12356,Acoustic Nerve,root (of UWDA hierarchy)
12357,Structure of zygomatic branch of lacrimal artery,Structure of lacrimal artery
12358,Structure of zygomatic nerve,Structure of maxillary nerve
12359,Structure of stellate ganglion,root (of UWDA hierarchy)
12360,Common Hepatic Duct,Common bile duct structure
12361,"Alveolar Nerve, Superior",Structure of maxillary nerve
12362,Absent left common carotid artery,Aortic arch structure
12363,Accessory obturator nerve,Lumbar plexus structure
12364,Structure of atrium of alveolus,Alveolar duct
12365,Alveolar duct,Structure of respiratory bronchiole
12366,Alveolar sac,Structure of atrium of alveolus
12367,Anterior atrial branch of right coronary artery,Structure of proximal portion of right coronary artery
12368,Anterior atrial branch of right coronary artery,Right coronary artery structure
12369,Anterior auricular nerve,Structure of auriculotemporal nerve
12370,Anterior basal segmental bronchus,root (of UWDA hierarchy)
12371,Structure of greater auricular nerve anterior branch,Structure of great auricular nerve
12372,Anterior branch of lateral cutaneous branch of eighth intercostal nerve,Lateral cutaneous branch of eighth intercostal nerve
12373,Anterior branch of lateral cutaneous branch of eleventh intercostal nerve,Lateral cutaneous branch of eleventh intercostal nerve
12374,Anterior branch of lateral cutaneous branch of fifth intercostal nerve,Lateral cutaneous branch of fifth intercostal nerve
12375,Anterior branch of lateral cutaneous branch of fourth intercostal nerve,Lateral cutaneous branch of fourth intercostal nerve
12376,Anterior branch of lateral cutaneous branch of intercostal nerve,Lateral cutaneous branch of intercostal nerve
12377,Anterior branch of lateral cutaneous branch of left eighth intercostal nerve,Lateral cutaneous branch of left eighth intercostal nerve
12378,Anterior branch of lateral cutaneous branch of left eighth posterior intercostal artery,Lateral cutaneous branch of left eighth posterior intercostal artery
12379,Anterior branch of lateral cutaneous branch of left eleventh intercostal nerve,Lateral cutaneous branch of left eleventh intercostal nerve
12380,Anterior branch of lateral cutaneous branch of left eleventh posterior intercostal artery,Lateral cutaneous branch of left eleventh posterior intercostal artery
12381,Anterior branch of lateral cutaneous branch of left fifth intercostal nerve,Lateral cutaneous branch of left fifth intercostal nerve
12382,Anterior branch of lateral cutaneous branch of left fifth posterior intercostal artery,Lateral cutaneous branch of left fifth posterior intercostal artery
12383,Anterior branch of lateral cutaneous branch of left first posterior intercostal artery,Lateral cutaneous branch of left first posterior intercostal artery
12384,Anterior branch of lateral cutaneous branch of left fourth intercostal nerve,Lateral cutaneous branch of left fourth intercostal nerve
12385,Anterior branch of lateral cutaneous branch of left fourth posterior intercostal artery,Lateral cutaneous branch of left fourth posterior intercostal artery
12386,Anterior branch of lateral cutaneous branch of left ninth intercostal nerve,Lateral cutaneous branch of left ninth intercostal nerve
12387,Anterior branch of lateral cutaneous branch of left ninth posterior intercostal artery,Lateral cutaneous branch of left ninth posterior intercostal artery
12388,Anterior branch of lateral cutaneous branch of left second posterior intercostal artery,Lateral cutaneous branch of left second posterior intercostal artery
12389,Anterior branch of lateral cutaneous branch of left seventh intercostal nerve,Lateral cutaneous branch of left seventh intercostal nerve
12390,Anterior branch of lateral cutaneous branch of left seventh posterior intercostal artery,Lateral cutaneous branch of left seventh posterior intercostal artery
12391,Anterior branch of lateral cutaneous branch of left sixth intercostal nerve,Lateral cutaneous branch of left sixth intercostal nerve
12392,Anterior branch of lateral cutaneous branch of left sixth posterior intercostal artery,Lateral cutaneous branch of left sixth posterior intercostal artery
12393,Anterior branch of lateral cutaneous branch of left subcostal artery,Lateral cutaneous branch of left subcostal artery
12394,Anterior branch of lateral cutaneous branch of left subcostal nerve,Lateral cutaneous branch of left subcostal nerve
12395,Anterior branch of lateral cutaneous branch of left tenth intercostal nerve,Lateral cutaneous branch of left tenth intercostal nerve
12396,Anterior branch of lateral cutaneous branch of left tenth posterior intercostal artery,Lateral cutaneous branch of left tenth posterior intercostal artery
12397,Anterior branch of lateral cutaneous branch of left third intercostal nerve,Lateral cutaneous branch of left third intercostal nerve
12398,Anterior branch of lateral cutaneous branch of left third posterior intercostal artery,Lateral cutaneous branch of left third posterior intercostal artery
12399,Anterior branch of lateral cutaneous branch of ninth intercostal nerve,Lateral cutaneous branch of ninth intercostal nerve
12400,Anterior branch of lateral cutaneous branch of posterior intercostal artery,Lateral cutaneous branch of posterior intercostal artery
12401,Anterior branch of lateral cutaneous branch of right eighth intercostal nerve,Lateral cutaneous branch of right eighth intercostal nerve
12402,Anterior branch of lateral cutaneous branch of right eighth posterior intercostal artery,Lateral cutaneous branch of right eighth posterior intercostal artery
12403,Anterior branch of lateral cutaneous branch of right eleventh intercostal nerve,Lateral cutaneous branch of right eleventh intercostal nerve
12404,Anterior branch of lateral cutaneous branch of right eleventh posterior intercostal artery,Lateral cutaneous branch of right eleventh posterior intercostal artery
12405,Anterior branch of lateral cutaneous branch of right fifth intercostal nerve,Lateral cutaneous branch of right fifth intercostal nerve
12406,Anterior branch of lateral cutaneous branch of right fifth posterior intercostal artery,Lateral cutaneous branch of right fifth posterior intercostal artery
12407,Anterior branch of lateral cutaneous branch of right first posterior intercostal artery,Lateral cutaneous branch of right first posterior intercostal artery
12408,Anterior branch of lateral cutaneous branch of right fourth intercostal nerve,Lateral cutaneous branch of right fourth intercostal nerve
12409,Anterior branch of lateral cutaneous branch of right fourth posterior intercostal artery,Lateral cutaneous branch of right fourth posterior intercostal artery
12410,Anterior branch of lateral cutaneous branch of right ninth intercostal nerve,Lateral cutaneous branch of right ninth intercostal nerve
12411,Anterior branch of lateral cutaneous branch of right ninth posterior intercostal artery,Lateral cutaneous branch of right ninth posterior intercostal artery
12412,Anterior branch of lateral cutaneous branch of right second posterior intercostal artery,Lateral cutaneous branch of right second posterior intercostal artery
12413,Anterior branch of lateral cutaneous branch of right seventh intercostal nerve,Lateral cutaneous branch of right seventh intercostal nerve
12414,Anterior branch of lateral cutaneous branch of right seventh posterior intercostal artery,Lateral cutaneous branch of right seventh posterior intercostal artery
12415,Anterior branch of lateral cutaneous branch of right sixth intercostal nerve,Lateral cutaneous branch of right sixth intercostal nerve
12416,Anterior branch of lateral cutaneous branch of right sixth posterior intercostal artery,Lateral cutaneous branch of right sixth posterior intercostal artery
12417,Anterior branch of lateral cutaneous branch of right subcostal artery,Lateral cutaneous branch of right subcostal artery
12418,Anterior branch of lateral cutaneous branch of right subcostal nerve,Lateral cutaneous branch of right subcostal nerve
12419,Anterior branch of lateral cutaneous branch of right tenth intercostal nerve,Lateral cutaneous branch of right tenth intercostal nerve
12420,Anterior branch of lateral cutaneous branch of right tenth posterior intercostal artery,Lateral cutaneous branch of right tenth posterior intercostal artery
12421,Anterior branch of lateral cutaneous branch of right third intercostal nerve,Lateral cutaneous branch of right third intercostal nerve
12422,Anterior branch of lateral cutaneous branch of right third posterior intercostal artery,Lateral cutaneous branch of right third posterior intercostal artery
12423,Anterior branch of lateral cutaneous branch of seventh intercostal nerve,Lateral cutaneous branch of seventh intercostal nerve
12424,Anterior branch of lateral cutaneous branch of sixth intercostal nerve,Lateral cutaneous branch of sixth intercostal nerve
12425,Anterior branch of lateral cutaneous branch of subcostal artery,Lateral cutaneous branch of subcostal artery
12426,Anterior branch of lateral cutaneous branch of subcostal nerve,Lateral cutaneous branch of subcostal nerve
12427,Anterior branch of lateral cutaneous branch of tenth intercostal nerve,Lateral cutaneous branch of tenth intercostal nerve
12428,Anterior branch of lateral cutaneous branch of third intercostal nerve,Lateral cutaneous branch of third intercostal nerve
12429,Anterior cutaneous branch of eighth intercostal nerve,Eighth intercostal nerve
12430,Anterior cutaneous branch of eleventh intercostal nerve,Eleventh intercostal nerve
12431,Anterior cutaneous branch of fifth intercostal nerve,Fifth intercostal nerve
12432,Anterior cutaneous branch of first intercostal nerve,First intercostal nerve
12433,Anterior cutaneous branch of fourth intercostal nerve,Fourth intercostal nerve
12434,Anterior cutaneous branch of intercostal nerve,Anterior ramus of thoracic nerve
12435,Anterior cutaneous branch of left eighth intercostal nerve,Left eighth intercostal nerve
12436,Anterior cutaneous branch of left eleventh intercostal nerve,Left eleventh intercostal nerve
12437,Anterior cutaneous branch of left fifth intercostal nerve,Left fifth intercostal nerve
12438,Anterior cutaneous branch of left first intercostal nerve,Left first intercostal nerve
12439,Anterior cutaneous branch of left fourth intercostal nerve,Left fourth intercostal nerve
12440,Anterior cutaneous branch of left ninth intercostal nerve,Left ninth intercostal nerve
12441,Anterior cutaneous branch of left second intercostal nerve,Left second intercostal nerve
12442,Anterior cutaneous branch of left seventh intercostal nerve,Left seventh intercostal nerve
12443,Anterior cutaneous branch of left sixth intercostal nerve,Left sixth intercostal nerve
12444,Anterior cutaneous branch of left subcostal nerve,root (of UWDA hierarchy)
12445,Anterior cutaneous branch of left tenth intercostal nerve,Left tenth intercostal nerve
12446,Anterior cutaneous branch of left third intercostal nerve,Left third intercostal nerve
12447,Anterior cutaneous branch of ninth intercostal nerve,Ninth intercostal nerve
12448,Anterior cutaneous branch of right eighth intercostal nerve,Right eighth intercostal nerve
12449,Anterior cutaneous branch of right eleventh intercostal nerve,Right eleventh intercostal nerve
12450,Anterior cutaneous branch of right fifth intercostal nerve,Right fifth intercostal nerve
12451,Anterior cutaneous branch of right first intercostal nerve,Right first intercostal nerve
12452,Anterior cutaneous branch of right fourth intercostal nerve,Right fourth intercostal nerve
12453,Anterior cutaneous branch of right ninth intercostal nerve,Right ninth intercostal nerve
12454,Anterior cutaneous branch of right second intercostal nerve,Right second intercostal nerve
12455,Anterior cutaneous branch of right seventh intercostal nerve,Right seventh intercostal nerve
12456,Anterior cutaneous branch of right sixth intercostal nerve,Right sixth intercostal nerve
12457,Anterior cutaneous branch of right subcostal nerve,root (of UWDA hierarchy)
12458,Anterior cutaneous branch of right tenth intercostal nerve,Right tenth intercostal nerve
12459,Anterior cutaneous branch of right third intercostal nerve,Right third intercostal nerve
12460,Anterior cutaneous branch of second intercostal nerve,Second intercostal nerve
12461,Anterior cutaneous branch of seventh intercostal nerve,Seventh intercostal nerve
12462,Anterior cutaneous branch of sixth intercostal nerve,Sixth intercostal nerve
12463,Anterior cutaneous branch of subcostal nerve,root (of UWDA hierarchy)
12464,Anterior cutaneous branch of tenth intercostal nerve,Tenth intercostal nerve
12465,Anterior cutaneous branch of third intercostal nerve,Third intercostal nerve
12466,Anterior diaphragmatic branch of phrenic nerve,Structure of phrenic nerve
12467,Structure of left anterior division of left branch of atrioventricular bundle,Left bundle branch structure
12468,Anterior intercostal branch of left musculophrenic artery,Left musculophrenic artery
12469,Anterior intercostal branch of right musculophrenic artery,Structure of musculophrenic artery
12470,Anterior intercostal branch of right musculophrenic artery,Right musculophrenic artery
12471,Anterior interatrial preferential pathway,Structure of atrioventricular node
12472,Anterior interatrial preferential pathway,Sinoatrial Node
12473,Anterior descending branch of left coronary artery,Left coronary artery structure
12474,Anterior radicular branch of left eighth posterior intercostal artery,Spinal branch of dorsal branch of left eighth posterior intercostal artery
12475,Anterior radicular branch of left eleventh posterior intercostal artery,Spinal branch of dorsal branch of left eleventh posterior intercostal artery
12476,Anterior radicular branch of left fifth posterior intercostal artery,Spinal branch of dorsal branch of left fifth posterior intercostal artery
12477,Anterior radicular branch of left first posterior intercostal artery,Spinal branch of dorsal branch of left first posterior intercostal artery
12478,Anterior radicular branch of left fourth posterior intercostal artery,Spinal branch of dorsal branch of left fourth posterior intercostal artery
12479,Anterior radicular branch of left ninth posterior intercostal artery,Spinal branch of dorsal branch of left ninth posterior intercostal artery
12480,Anterior radicular branch of left second posterior intercostal artery,Spinal branch of dorsal branch of left second posterior intercostal artery
12481,Anterior radicular branch of left seventh posterior intercostal artery,Spinal branch of dorsal branch of left seventh posterior intercostal artery
12482,Anterior radicular branch of left sixth posterior intercostal artery,Spinal branch of dorsal branch of left sixth posterior intercostal artery
12483,Anterior radicular branch of left subcostal artery,Spinal branch of dorsal branch of left subcostal artery
12484,Anterior radicular branch of left tenth posterior intercostal artery,Spinal branch of dorsal branch of left tenth posterior intercostal artery
12485,Anterior radicular branch of left third posterior intercostal artery,Spinal branch of dorsal branch of left third posterior intercostal artery
12486,Structure of great anterior radicular artery of Adamkiewicz,Spinal branch of dorsal branch of posterior intercostal artery
12487,Anterior radicular branch of right eighth posterior intercostal artery,Spinal branch of dorsal branch of right eighth posterior intercostal artery
12488,Anterior radicular branch of right eleventh posterior intercostal artery,Spinal branch of dorsal branch of right eleventh posterior intercostal artery
12489,Anterior radicular branch of right fifth posterior intercostal artery,Spinal branch of dorsal branch of right fifth posterior intercostal artery
12490,Anterior radicular branch of right first posterior intercostal artery,Spinal branch of dorsal branch of right first posterior intercostal artery
12491,Anterior radicular branch of right fourth posterior intercostal artery,Spinal branch of dorsal branch of right fourth posterior intercostal artery
12492,Anterior radicular branch of right ninth posterior intercostal artery,Spinal branch of dorsal branch of right ninth posterior intercostal artery
12493,Anterior radicular branch of right second posterior intercostal artery,Spinal branch of dorsal branch of right second posterior intercostal artery
12494,Anterior radicular branch of right seventh posterior intercostal artery,Spinal branch of dorsal branch of right seventh posterior intercostal artery
12495,Anterior radicular branch of right sixth posterior intercostal artery,Spinal branch of dorsal branch of right sixth posterior intercostal artery
12496,Anterior radicular branch of right subcostal artery,Spinal branch of dorsal branch of right subcostal artery
12497,Anterior radicular branch of right tenth posterior intercostal artery,Spinal branch of dorsal branch of right tenth posterior intercostal artery
12498,Anterior radicular branch of right third posterior intercostal artery,Spinal branch of dorsal branch of right third posterior intercostal artery
12499,Anterior radicular branch of subcostal artery,Spinal branch of dorsal branch of subcostal artery
12500,Anterior ramus of coccygeal nerve,Structure of coccygeal nerve
12501,Anterior ramus of fifth cervical nerve,root (of UWDA hierarchy)
12502,Anterior ramus of fifth lumbar nerve,Fifth lumbar nerve
12503,Anterior ramus of fifth sacral nerve,Fifth sacral nerve
12504,Anterior ramus of first lumbar nerve,First lumbar nerve
12505,Anterior ramus of first sacral nerve,First sacral nerve
12506,First intercostal nerve,First thoracic nerve
12507,Anterior ramus of fourth cervical nerve,root (of UWDA hierarchy)
12508,Anterior ramus of fourth lumbar nerve,Fourth lumbar nerve
12509,Anterior ramus of fourth sacral nerve,Fourth sacral nerve
