,CUI1,CUI2
9417,Cutaneous branch of lateral branch of dorsal branch of lumbar artery,Lateral branch of dorsal branch of lumbar artery
9418,Petrous part of left internal carotid artery,Structure of left internal carotid artery
9419,Muscular branch of left deep cervical artery,Left deep cervical artery
9420,Collateral branch of right fourth posterior intercostal artery,Right fourth posterior intercostal artery
9421,Left nasopalatine nerve,Left maxillary nerve
9422,Left zygomatic nerve,Left maxillary nerve
9423,Left greater palatine nerve,Left maxillary nerve
9424,Sympathetic root of otic ganglion,Structure of internal carotid plexus
9425,Branch to inferior glossopharyngeal ganglion,Structure of jugular nerve
9426,Articular branch of dorsal branch of right seventh posterior intercostal artery,Medial branch of dorsal branch of right seventh posterior intercostal artery
9427,Structure of oculomotor nerve rectus superior branch,Superior ramus of oculomotor nerve
9428,Muscular branch of collateral branch of left fourth posterior intercostal artery,Collateral branch of left fourth posterior intercostal artery
9429,Collateral branch of left fifth posterior intercostal artery,Left fifth posterior intercostal artery
9430,Prelaminar branch of left seventh posterior intercostal artery,Spinal branch of dorsal branch of left seventh posterior intercostal artery
9431,Pleural branch of left eighth posterior intercostal artery,Left eighth posterior intercostal artery
9432,Descending branch of meningeal branch of third thoracic nerve,Meningeal branch of third thoracic nerve
9433,Labium majus part of left posterior labial artery,Left posterior labial artery
9434,Left superficial cervical artery,Left transverse cervical artery
9435,Anterior branch of lateral cutaneous branch of right first posterior intercostal artery,Lateral cutaneous branch of right first posterior intercostal artery
9436,Lateral branch of dorsal branch of subcostal artery,Dorsal branch of subcostal artery
9437,Nerve to flexor digitorum longus,Structure of tibial nerve
9438,Medial proper plantar digital nerve of fourth toe,Structure of tibial nerve
9439,Gray ramus communicans from superior cervical ganglion to anterior ramus of second cervical nerve,Anterior ramus of second cervical nerve
9440,Structure of smaller occipital nerve,Anterior ramus of second cervical nerve
9441,Structure of anterior basal branch of left pulmonary artery,Anteromedial basal branch of left pulmonary artery
9442,Posterior branch of lateral cutaneous branch of third intercostal nerve,Lateral cutaneous branch of third intercostal nerve
9443,Dartos part of right posterior scrotal artery,Right posterior scrotal artery
9444,Branch of anterior choroidal artery to posterior limb of internal capsule,Structure of anterior choroidal artery
9445,Uncal artery,Structure of anterior choroidal artery
9446,Third perforating femoral artery of left thigh,Left deep femoral artery
9447,Lateral branch of dorsal branch of second lumbar artery,Dorsal branch of second lumbar artery
9448,Structure of appendicular artery,Inferior branch of ileocolic artery
9449,Anterior inferior pancreaticoduodenal artery,Structure of inferior pancreaticoduodenal artery
9450,Posterior inferior pancreaticoduodenal artery,Structure of inferior pancreaticoduodenal artery
9451,Omental branch of left gastro-epiploic artery,Structure of left gastroepiploic artery
9452,Prepancreatic artery,Structure of splenic artery
9453,Intrarenal segment of left renal artery,Structure of left renal artery
9454,Lateral branch of dorsal branch of first lumbar artery,Dorsal branch of first lumbar artery
9455,Branch of right medial superior cerebellar artery to middle cerebellum,Medial branch of right superior cerebellar artery
9456,Right prefrontal artery,Superior terminal branch of right middle cerebral artery
9457,Dorsal branch of right second posterior intercostal artery,Right second posterior intercostal artery
9458,Facial nerve stylohyoid branch,Facial nerve structure
9459,C5 branch to left semispinalis cervicis,Medial branch of posterior ramus of left fifth cervical nerve
9460,Posterior muscular branch of left radial nerve,Peripheral segment of left radial nerve
9461,Nerve to right articularis cubiti,Peripheral segment of right radial nerve
9462,Branch of left musculocutaneous nerve to short head of left biceps brachii,Peripheral segment of left musculocutaneous nerve
9463,Posterior ramus of posterior diaphragmatic branch of left phrenic nerve,Peripheral segment of left phrenic nerve
9464,Superior branch of right transverse cervical nerve,Peripheral segment of right transverse cervical nerve
9465,Inferior ramus of medial segmental artery,Trunk of medial segmental artery
9466,Posterior ramus of lateral segmental artery,Trunk of lateral segmental artery
9467,Basal ramus of left lateral basal segmental artery,Trunk of left lateral basal segmental artery
9468,Lateral ramus of right lateral basal segmental artery,Trunk of right lateral basal segmental artery
9469,Medio-anterior ramus of left medial basal segmental artery,Trunk of left medial basal segmental artery
9470,Descending branch of meningeal branch of right sixth thoracic nerve,Meningeal branch of right sixth thoracic nerve
9471,Structure of mastoid branch of occipital artery,Structure of occipital artery
9472,Collateral branch of right first posterior intercostal artery,Right first posterior intercostal artery
9473,Parotid branch of right superficial temporal artery,Right superficial temporal artery
9474,Iliac part of right obturator artery,Right obturator artery
9475,Lumbar part of right iliolumbar artery,Right iliolumbar artery
9476,Fundal part of inferior vesical artery,Structure of inferior vesical artery
9477,Structure of left femoral artery,Structure of left external iliac artery
9478,Left bronchial artery,Systemic arterial tree
9479,Right ninth posterior intercostal artery,Systemic arterial tree
